Id,Label,timeset, char_name, char_desc,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Authority,Hub
125,'Poochie',,'Poochie','The Itchy and Scratchy Show is a fictional animated television series which is featured in the animated television series The Simpsons. It usually appears as a part of The Krusty the Clown Show,10,10,2,0.504125,0.508183,0,1,0.000857,0,1,45,0.07932,0.019707,0.019708
126,'Manjula Nahasapeemapetilon',,'Manjula Nahasapeemapetilon',"'Manjula Nahasapeemapetilon is the wife of Apu Nahasapeemapetilon and the mother of their eight children. She first appeared as a little girl in Apu\'s flashback in the seventh season episode \""Much Apu About Nothing\""",42,102,2,0.517797,0.53437,0.000374,0,0.002899,0,0.52381,451,0.201358,0.052007,0.052008
127,'Patches and Poor Violet',,'Patches and Poor Violet','Patches and Poor Violet are two of Springfield\'s orphans,7,7,3,0.502054,0.505183,0,1,0.000679,0,1,21,0.067953,0.016733,0.016734
128,'Arnie Pye',,'Arnie Pye','Arnie Pye is a disgruntled,15,18,2,0.506214,0.512275,0.000004,1,0.001129,0,0.942857,99,0.1173,0.029953,0.029954
129,'Herbert Powell',,'Herbert Powell','The Simpson family are cartoon characters featured in the animated television series The Simpsons. The Simpsons are a nuclear family consisting of married couple Homer and Marge and their three children Bart,6,6,3,0.501642,0.504364,0,1,0.000616,0,1,15,0.065938,0.01613,0.016131
130,'Mona Simpson',,'Mona Simpson','Mona J. Simpson has been voiced by several actresses,21,41,3,0.507897,0.516639,0.000038,1,0.001544,0,0.738095,155,0.134123,0.034204,0.034205
131,'Agnes Skinner',,'Agnes Skinner',"'Agnes Skinner is the mother of Principal Skinner and first appeared in the first season episode \""The Crepes of Wrath\"" as an old woman who embarrassingly calls her son \""Spanky\"". However",48,99,2,0.520443,0.53928,0.000391,0,0.003185,0,0.566489,639,0.240261,0.062516,0.062516
132,'Snake Jailbird',,'Snake Jailbird',"'Chester ""Snake"" Turley",86,309,2,0.537852,0.570376,0.001522,1,0.005487,0,0.400547,1464,0.350162,0.091696,0.091696
133,'Cletus Spuckler',,'Cletus Spuckler','Cletus Delroy Spuckler is a recurring character in the Fox animated series The Simpsons,15,28,3,0.505376,0.511729,0.000021,1,0.001203,0,0.714286,75,0.096535,0.024104,0.024104
134,'Brandine Spuckler',,'Brandine Spuckler','Brandine Spuckler is the wife of Cletus Spuckler. Brandine and Cletus are depicted as stereotypical yokels. Throughout the series,22,32,2,0.509167,0.518003,0.000024,1,0.001564,0,0.822511,190,0.149934,0.038401,0.038402
135,'Squeaky-Voiced Teen',,'Squeaky-Voiced Teen','Squeaky Voiced Teen,11,15,3,0.50371,0.508456,0.000003,1,0.000916,0,0.909091,50,0.092747,0.023277,0.023278
136,'Veterinarian',,'Veterinarian',"'Veterinarian voiced by Hank Azaria that appears in ""Dog of Death""'",7,7,3,0.502054,0.505183,0,1,0.000681,0,1,21,0.071259,0.017531,0.017531
137,'Drederick Tatum',,'Drederick Tatum',"'Drederick Tatum has appeared in several episodes. He is a professional boxer and the reigning world heavyweight champion. He features prominently in the episode \""The Homer They Fall\""",40,68,3,0.516047,0.532188,0.000296,2,0.002707,0,0.605128,472,0.207223,0.053809,0.05381
138,'Ralph Wiggum',,'Ralph Wiggum','Ralph Wiggum is a recurring character on the animated series The Simpsons,93,404,2,0.541187,0.576105,0.001815,0,0.005897,0,0.379149,1622,0.367153,0.096231,0.096231
140,'Cecil Terwilliger',,'Cecil Terwilliger','Cecil Underdunk Terwilliger is younger brother of Robert Underdunk Terwilliger,15,19,2,0.506214,0.512275,0.000006,1,0.001174,0,0.904762,95,0.099725,0.024964,0.024964
141,'Uter Zorker',,'Uter Zorker','Üter Zörker,13,13,3,0.504542,0.510093,0,2,0.001014,0,1,78,0.106753,0.027004,0.027005
142,'Kirk Van Houten',,'Kirk Van Houten','Kirk Van Houten is voiced by Hank Azaria. He is the father of Milhouse,36,68,2,0.515177,0.52946,0.000084,0,0.002349,0,0.765079,482,0.215288,0.056184,0.056184
143,'Dr. Velimirovic',,'Dr. Velimirovic','Plastic surgeon.',9,9,3,0.502881,0.506819,0,2,0.00084,0,1,36,0.065088,0.016178,0.016178
144,'Sarah Wiggum',,'Sarah Wiggum','Sarah Wiggum,17,19,2,0.507054,0.513912,0,2,0.001224,0,1,136,0.135408,0.034796,0.034797
145,'Wiseguy',,'Wiseguy','Raphael,24,36,3,0.509167,0.519094,0.000027,1,0.001654,0,0.789855,218,0.150559,0.038835,0.038836
146,'Rainier Wolfcastle',,'Rainier Wolfcastle','Rainier Luftwaffe Wolfcastle is an action hero star and a close parody of actorpolitician Arnold Schwarzenegger. This basis has been drawn out over the series. Wolfcastle is a native of Austria,61,129,2,0.52627,0.549918,0.000703,2,0.003935,0,0.530055,970,0.287045,0.075173,0.075174
147,'Artie Ziff',,'Artie Ziff','Artie Ziff is a narcissistic Internet entrepreneur who is infatuated with Marge,19,37,3,0.507054,0.515003,0.000002,1,0.001332,0,0.959064,164,0.142882,0.03688,0.036881
148,'Yes Guy',,'Yes Guy','The Frank Nelson Type,4,4,3,0.494737,0.498636,0,2,0.000538,0,1,6,0.025705,0.006417,0.006417
149,'Ms. Mellon',,'Ms. Mellon','Ms. Mellon Teacher at a school for gifted children that Bart is sent to after cheating on an I.Q Test. She is the only other character Marcia Wallace has voiced other than Edna Krabappel.',8,8,3,0.502467,0.506001,0,0,0.000727,0,1,28,0.068845,0.016964,0.016964
150,'Cowboy Bob',,'Cowboy Bob','Cowboy Bob,7,7,3,0.502054,0.505183,0,1,0.000694,0,1,21,0.07131,0.017563,0.017563
151,'Jacques',,'Jacques','Jacques is a bowling instructor who pursued an affair with Marge Simpson. Jacques has since made non-speaking cameos in subsequent episodes,8,8,3,0.502467,0.506001,0,1,0.000717,0,1,28,0.077905,0.019447,0.019448
152,'Gulliver Dark',,'Gulliver Dark','Gulliver Dark,6,6,3,0.50082,0.503819,0,3,0.000638,0,1,15,0.057875,0.014266,0.014267
153,'CÃ©sar',,'CÃ©sar',"'CÃ©sar and Ugolin are two hostile French winemakers who force Bart to be their slave. Both briefly appear again in \""Lisa the Greek\""",6,6,3,0.50082,0.503819,0,0,0.000638,0,1,15,0.055242,0.013566,0.013566
154,'Adil Hoxha',,'Adil Hoxha','Adil Hoxha,6,6,3,0.50082,0.503819,0,0,0.000638,0,1,15,0.055242,0.013566,0.013566
155,'Lucille Botzcowski',,'Lucille Botzcowski','Ms. Botz/Lucille Botzcowski is an escaped criminal,6,6,3,0.501642,0.504364,0,1,0.000645,0,1,15,0.065022,0.015865,0.015865
156,'Karl',,'Karl','Karl was Homer\'s assistant who tried to help Homer succeed as an executive. When Homer was about to be fired for his misdeeds,6,6,3,0.501231,0.504092,0,2,0.000604,0,1,15,0.062883,0.015657,0.015658
157,'Serak the Preparer',,'Serak the Preparer','Serak the Preparer is a cohort of Kang and Kodos who made the Simpson family dinner while on their way to their home planet. Kang and Kodos have since appeared in every Halloween episode,6,6,3,0.501642,0.504364,0,1,0.000607,0,1,15,0.067957,0.016714,0.016715
158,'Toshiro the Apprentice Chef',,'Toshiro the Apprentice Chef',"'Toshiro the Apprentice Chef The Master Sushi Chef\'s apprentice. Appears in the line at the Retirement Castle in \""Old Money\"".'",11,11,3,0.50371,0.508456,0,1,0.000904,0,1,55,0.091623,0.022996,0.022997
159,'Master Sushi Chef',,'Master Sushi Chef','Master Sushi Chef Sushi chef at a Japanese restaurant who had his apprentice make Homer\'s fugu as he was busy having sex with Ms. Krabbapel in the backseat of a parked car.',11,11,3,0.50371,0.508456,0,1,0.000904,0,1,55,0.091623,0.022996,0.022997
160,'Emily Winthrop',,'Emily Winthrop','Emily Winthrop,6,6,3,0.501642,0.504364,0,1,0.000609,0,1,15,0.068887,0.016976,0.016977
161,"'Beatrice \""Bea\"" Simmons'",,"'Beatrice \""Bea\"" Simmons'","'Beatrice \""Bea\"" Simmons was Grampa Simpson\'s girlfriend. They met at the Springfield Retirement Castle. After arranging a date for Bea\'s birthday",6,6,3,0.50041,0.503546,0,0,0.000594,0,1,15,0.043382,0.010914,0.010914
162,'Professor Lombardo',,'Professor Lombardo','Professor Lombardo,9,9,2,0.50371,0.507365,0,1,0.000804,0,1,36,0.083403,0.020673,0.020673
163,'Mr. Bergstrom',,'Mr. Bergstrom','Mr. Bergstrom was Lisa\'s substitute teacher. Mr. Bergstrom took over for Ms. Hoover after she believed she had got Lyme disease and Lisa immediately took to him because he was the kind of male role model she needed in her life. However,13,17,3,0.504542,0.510093,0.000006,0,0.001025,0,0.846154,66,0.094867,0.023881,0.023881
164,'Leon Kompowsky',,'Leon Kompowsky','Leon Kompowsky was a mental patient who pretended to be Michael Jackson. The character was voiced by Michael Jackson. The producers of the show were legally prevented from confirming Jackson guest starred at the time,13,17,2,0.505376,0.510638,0.000003,1,0.001022,0,0.910256,71,0.104026,0.026229,0.02623
165,'Bob Arnold',,'Bob Arnold','Bob Arnold was a corrupt Congressman. He accepted a bribe to demolish Springfield National Forest,3,3,3,0.50041,0.501909,0,1,0.000433,0,1,3,0.04269,0.010321,0.010321
674,'U2',,'U2','Appear as themselves',22,25,2,0.509167,0.518003,0.000047,4,0.001606,0,0.748918,173,0.11621,0.029075,0.029075
167,'Crippled Merchant',,'Crippled Merchant','Crippled Merchant is a Moroccan street vendor who sells Homer a monkey\'s paw. He was once the President of Algeria because of a wish he made on the paw.',14,14,2,0.505795,0.511457,0,4,0.00106,0,1,91,0.11604,0.02951,0.02951
168,'Collette',,'Collette','Collette,7,7,3,0.502467,0.505456,0,1,0.000678,0,1,21,0.056619,0.014312,0.014313
169,'Horst',,'Horst','Horst,4,4,3,0.50041,0.502455,0,2,0.000485,0,1,6,0.042726,0.01061,0.01061
170,'Samantha Stanky',,'Samantha Stanky','Samantha Stanky is a girl with orthodontic braces from Phoenix,6,6,3,0.501642,0.504364,0,1,0.000609,0,1,15,0.067647,0.016611,0.016611
171,'Mr. Black',,'Mr. Black','Mr. Black was Krusty\'s accountant and the evil camp director of Kamp Krusty who hires local thugs Dolph,13,18,2,0.505376,0.510638,0.000005,0,0.001007,0,0.884615,69,0.098521,0.024999,0.024999
172,'Llewellyn Sinclair',,'Llewellyn Sinclair','Llewellyn Sinclair is an intense,7,7,3,0.502054,0.505183,0,1,0.000696,0,1,21,0.072199,0.017769,0.01777
173,'Ms. Sinclair',,'Ms. Sinclair','Ms. Sinclair is head of the Ayn Rand School for Tots. She is the sister of the aforementioned theater director,7,7,3,0.502054,0.505183,0,1,0.000696,0,1,21,0.072199,0.017769,0.01777
174,'Amber Dempsey',,'Amber Dempsey','Amber Dempsey,6,6,3,0.50041,0.503546,0,2,0.000635,0,1,15,0.055347,0.013701,0.013702
175,'Jack Larson',,'Jack Larson','Jack Larson,6,6,3,0.50041,0.503546,0,2,0.000635,0,1,15,0.055347,0.013701,0.013702
176,'Laura Powers',,'Laura Powers','Laura Powers is the teenage daughter of Ruth Powers. Her first and only speaking appearance is when her family moved next door to Bart after the elderly Winfields moved out. Bart developed a crush on her,14,18,2,0.505795,0.511457,0.000009,1,0.001096,0,0.846154,77,0.100898,0.025444,0.025444
177,'Mr. McGreg',,'Mr. McGreg','Mr. McGreg,9,9,3,0.501642,0.506001,0,1,0.000767,0,1,36,0.076917,0.019509,0.019509
178,'Lyle Lanley',,'Lyle Lanley','Lyle Lanley is a smooth talking con man who talks the people of Springfield into buying an expensive monorail after Mr. Burns was forced to give the town three million dollars. He uses song and slick salesmanship to get the whole town behind the idea that Springfield should buy a monorail system,7,7,3,0.502054,0.505183,0,1,0.000718,0,1,21,0.06705,0.016333,0.016334
179,'Sebastian Cobb',,'Sebastian Cobb','Sebastian Cobb A scientist who built North Haverbrook\'s monorail for Lyle Lanley.',7,7,3,0.502054,0.505183,0,1,0.000718,0,1,21,0.06705,0.016333,0.016334
180,'Tom',,'Tom',"'Tom is Bart\'s \""Bigger Brother\"". Bart decides to get a bigger brother after Homer failed to pick him up from soccer practice. At the aquarium",7,7,2,0.502881,0.505728,0,1,0.000692,0,1,21,0.069884,0.017216,0.017216
181,'Pepi',,'Pepi','Pepi is a poor boy who lives in Springfield and becomes Homer\'s \'Little Brother\'. At the end of the episode,7,7,2,0.502881,0.505728,0,1,0.000692,0,1,21,0.069884,0.017216,0.017216
182,'Sideshow Raheem',,'Sideshow Raheem',"'Sideshow Raheem : the militant black Sideshow partner Krusty had on his show in the 1970s. Has an Afro and wears a dashiki and dark sunglasses. Was seen at Krusty\'s funeral on \""Bart the Fink\"".'",7,7,3,0.502467,0.505456,0,0,0.000712,0,1,21,0.048435,0.012134,0.012134
183,'Rex',,'Rex','Rex : a melodramatic boy in Lisa\'s class who auditioned to play George Washington during the school\'s Presidents\' Day pageant,7,7,3,0.502467,0.505456,0,0,0.000712,0,1,21,0.048435,0.012134,0.012134
184,'Johnny',,'Johnny',"'Johnny : Principal Skinner\'s Army buddy who was shot down while off-guard writing a Valentine during the Vietnam War while stationed in Da Nang. Skinner was thinking of him while explaining over the PA that \""Valentine\'s Day is no joke\""",7,7,3,0.502467,0.505456,0,0,0.000712,0,1,21,0.048435,0.012134,0.012134
185,'Dr. Wolfe',,'Dr. Wolfe','Dr. Wolfe is the intimidating and judgmental dentist that the Simpson family visits. Anthony Perkins had agreed to voice Dr. Wolfe,7,7,3,0.50082,0.504364,0,2,0.000688,0,1,21,0.063289,0.015746,0.015747
186,'Nigel',,'Nigel',"'Nigel An Englishman and manager of the Be-Sharps. He suggested the band should replace Chief Wiggum with Barney Gumble because the former was \""too Village People\""",10,10,3,0.503295,0.507638,0,0,0.000858,0,1,45,0.08462,0.021153,0.021154
187,'The Gremlin',,'The Gremlin','The Gremlin is a gremlin who,13,13,3,0.504542,0.510093,0,2,0.001014,0,1,78,0.106753,0.027004,0.027005
188,'Dean Peterson',,'Dean Peterson','Dean Peterson Dean of Springfield Community College. Homer psychologically projects onto him the role of an uptight,5,5,3,0.50041,0.503001,0,1,0.000564,0,1,10,0.052497,0.012816,0.012816
189,'Brad Goodman',,'Brad Goodman','Brad Goodman is a self-help guru. After talking to Bart Simpson during a lecture at Springfield,10,10,2,0.504125,0.508183,0,1,0.000848,0,1,45,0.087656,0.021974,0.021974
190,'Mindy Simmons',,'Mindy Simmons','Mindy Simmons is a former employee of Springfield Nuclear Power Plant,7,7,3,0.501231,0.504637,0,2,0.000659,0,1,21,0.068491,0.01718,0.017181
191,'Molloy the Cat Burglar',,'Molloy the Cat Burglar','Molloy the Cat Burglar is a thief and cat burglar who steals many objects from the townspeople of Springfield,3,3,3,0.499591,0.501364,0,1,0.000427,0,1,3,0.035685,0.008789,0.008789
192,'Stacy Lovell',,'Stacy Lovell',"'Stacy Lovell is the inventor of Malibu Stacy. Was fired in 1974 for funneling profits to the Viet Cong and because \""her way of thinking wasn\'t cost-effective\"". She lives in an exact replica of her Malibu Stacy Dreamhouse in a neighborhood for recluses and once dated an African-American man who looks like a G.I. Joe action figure.'",4,4,3,0.473643,0.483633,0,1,0.000476,0,1,6,0.032214,0.008282,0.008282
193,'Race Banyon',,'Race Banyon','Race Banyon is an astronaut who aided Homer and Buzz Aldrin on their space mission.',8,8,3,0.5,0.504364,0,2,0.000742,0,1,28,0.055744,0.014058,0.014058
194,'Freddie Quimby',,'Freddie Quimby',"'Freddie Quimby is the nephew of Mayor Quimby who is accused of assaulting a waiter. He reappears in \""Trash of the Titans\"" as one of the people in line at the courthouse to register as a sex offender and later in \""See Homer Run\"" as his uncle\'s press secretary.'",14,14,3,0.504959,0.510911,0,0,0.001048,0,1,91,0.106193,0.027107,0.027107
663,'Gary Coleman',,'Gary Coleman','Appears as himself',18,24,2,0.507475,0.51473,0.000035,0,0.001372,0,0.784314,120,0.122481,0.031079,0.031079
196,'Bort',,'Bort','Bort,6,6,2,0.502467,0.50491,0,1,0.000607,0,1,15,0.066968,0.016518,0.016519
197,'Jessica Lovejoy',,'Jessica Lovejoy','Jessica Lovejoy is the daughter of Timothy and Helen Lovejoy,6,6,3,0.501642,0.504364,0,1,0.000607,0,1,15,0.066699,0.016433,0.016434
198,'Ashley Grant',,'Ashley Grant','Ashley Grant is a feminist graduate student who babysits Bart,14,16,3,0.504959,0.510911,0.000014,2,0.001124,0,0.835165,76,0.105174,0.026514,0.026515
199,'Hugo Simpson',,'Hugo Simpson','Hugo Simpson,9,9,3,0.502054,0.506274,0,2,0.000796,0,1,36,0.063794,0.016203,0.016203
200,'Leavelle',,'Leavelle','Leavelle is a bodyguard trainer.',9,9,3,0.502054,0.506274,0,2,0.000796,0,1,36,0.063794,0.016203,0.016203
201,'Dr. Zweig',,'Dr. Zweig',"'Dr. Zweig is a psychologist who tries to help Marge get over her fear of flying. She appears as one of the judges at Marge\'s insanity hearing in \""It\'s a Mad",5,5,3,0.5,0.502728,0,1,0.000591,0,1,10,0.050592,0.012372,0.012373
202,'Guy Incognito',,'Guy Incognito','Guy Incognito is a seemingly upper-class man who is identical in appearance to Homer Simpson. After Homer is banned from Moe\'s Tavern,5,5,3,0.5,0.502728,0,1,0.000591,0,1,10,0.050592,0.012372,0.012373
203,'Number One',,'Number One','Number One is the head of the Springfield chapter of The Stonecutters,6,6,3,0.50041,0.503546,0,2,0.000603,0,1,15,0.061909,0.015454,0.015454
204,'Don Vittorio DiMaggio',,'Don Vittorio DiMaggio','Don Vittorio DiMaggio is Fat Tony\'s boss and a self-admitted Italian American stereotype. He has since made brief non-speaking cameos in later episodes,5,5,3,0.496748,0.500546,0,1,0.000646,0,1,10,0.027644,0.006829,0.00683
205,'Evan Conover',,'Evan Conover','Evan Conover is a U.S. diplomat who sells out the Simpsons to angry Australian officials.',4,4,3,0.50082,0.502728,0,1,0.000496,0,1,6,0.056654,0.013704,0.013705
206,'Ballet Teacher',,'Ballet Teacher','Ballet Teacher,6,6,3,0.501642,0.504364,0,1,0.000606,0,1,15,0.068622,0.016947,0.016948
207,'The Fortuneteller',,'The Fortuneteller','The Fortuneteller,8,8,3,0.502467,0.506001,0,1,0.000745,0,1,28,0.076653,0.018952,0.018953
208,'Hugh Parkfield',,'Hugh Parkfield','Hugh Parkfield,8,8,3,0.502467,0.506001,0,1,0.000745,0,1,28,0.076653,0.018952,0.018953
209,'Shelby',,'Shelby','Shelby,7,7,3,0.501231,0.504637,0,0,0.000663,0,1,21,0.061277,0.015218,0.015218
210,"'Colonel Leslie \""Hap\"" Hapablap'",,"'Colonel Leslie \""Hap\"" Hapablap'","'Colonel Leslie \""Hap\"" Hapablap",9,9,2,0.50371,0.507365,0,1,0.000789,0,1,36,0.074932,0.018883,0.018884
211,'Dr. Sally Wexler',,'Dr. Sally Wexler','Dr. Sally Wexler,9,9,2,0.50371,0.507365,0,1,0.000789,0,1,36,0.074932,0.018883,0.018884
212,'Don Brodka',,'Don Brodka','Don Brodka,7,7,3,0.501231,0.504637,0,0,0.000657,0,1,21,0.065129,0.016309,0.016309
213,'Hollis Hurlbut',,'Hollis Hurlbut','Hollis Hurlbut is the head of the Springfield Historical Society. He seeks to keep the truth about Jebediah Springfield,7,7,3,0.501231,0.504637,0,1,0.000665,0,1,21,0.060409,0.015031,0.015031
214,'Chester J. Lampwick',,'Chester J. Lampwick','Chester J. Lampwick,8,8,3,0.499591,0.504092,0,1,0.000741,0,1,28,0.057716,0.014404,0.014404
215,'MacArthur Parker',,'MacArthur Parker','MacArthur Parker is Troy McClure\'s agent who advises McClure to marry Selma in order to revive his career and quell the rumors about the weird things McClure does to fish.',7,7,3,0.501231,0.504637,0,1,0.000655,0,1,21,0.065481,0.016436,0.016436
216,'Erin',,'Erin','Erin,6,6,3,0.501642,0.504364,0,1,0.000611,0,1,15,0.071722,0.017674,0.017674
217,'Hank Scorpio',,'Hank Scorpio','Hank Scorpio is an evil genius and supervillain. He is also the cheerful,5,5,3,0.501231,0.503546,0,1,0.000552,0,1,10,0.062299,0.015232,0.015232
218,'Lucius Sweet',,'Lucius Sweet','Lucius Sweet is a boxing manager who is a parody of Don King. He represents World Heavyweight Champion Drederick Tatum,10,10,3,0.502467,0.507092,0,0,0.000833,0,1,45,0.074806,0.018978,0.018979
219,'Larry Burns',,'Larry Burns','Larry Burns is the long-lost son of Montgomery Burns. He is lazy and low-brow,4,4,3,0.497557,0.500546,0,2,0.000486,0,1,6,0.042655,0.010589,0.010589
220,'Belle',,'Belle','Belle the owner of the Maison Derriere,7,7,2,0.502881,0.505728,0,1,0.000662,0,1,21,0.072556,0.018007,0.018007
221,'Starla',,'Starla','Starla,6,6,3,0.501642,0.504364,0,1,0.000611,0,1,15,0.067437,0.01654,0.016541
222,'Dr. Foster',,'Dr. Foster','Dr. Foster,4,4,3,0.5,0.502182,0,1,0.000492,0,1,6,0.049702,0.012177,0.012177
223,'The Space Coyote',,'The Space Coyote','The Space Coyote,2,2,3,0.496344,0.498636,0,1,0.000372,0,1,1,0.028955,0.006967,0.006967
224,'Frank Ormand',,'Frank Ormand','Frank Ormand is the founder of the Pretzel Wagon company who convinces Marge to start her own pretzel-selling business. He later dies in a car accident before Marge can start up her business.',6,6,3,0.501642,0.504364,0,1,0.000614,0,1,15,0.068718,0.016865,0.016865
225,'Sherry Bobbins',,'Sherry Bobbins','Sherry Bobbins is a magical British nanny modeled after Mary Poppins and hired to care for the Simpson children after Marge is revealed to be going bald from stress. After realizing she can never make The Simpsons functional,8,8,3,0.502467,0.506001,0,1,0.000723,0,1,28,0.082986,0.020698,0.020699
226,'Roy',,'Roy','Roy,10,10,2,0.504125,0.508183,0,1,0.000857,0,1,45,0.07932,0.019707,0.019708
227,'John',,'John','John,6,6,3,0.501642,0.504364,0,2,0.000608,0,1,15,0.069409,0.017126,0.017127
228,'Rex Banner',,'Rex Banner','Rex Banner is a U.S. Treasury officer in Washington,9,9,3,0.502881,0.506819,0,1,0.000781,0,1,36,0.088115,0.022086,0.022086
229,'Laddie',,'Laddie','Laddie a finely-bred,8,8,3,0.502467,0.506001,0,1,0.000728,0,1,28,0.074976,0.018606,0.018606
230,"'Frank \""Grimey\"" Grimes'",,"'Frank \""Grimey\"" Grimes'","'Frank \""Grimey\"" Grimes was a 35-year-old everyman and consummate professional; his professionalism is repeatedly contrasted with Homer Simpson\'s idiocy. After several failed attempts to expose Homer\'s stupidity and irresponsibility",11,11,3,0.503295,0.508183,0,2,0.000891,0,1,55,0.088425,0.022485,0.022486
231,'Big Daddy',,'Big Daddy','Big Daddy is a New Orleans-based criminal who steals the Louisiana governor\'s mansion and kidnaps Ralph Wiggum. He is set up as the primary antagonist of the Chief Wiggum spinoff,21,21,2,0.508743,0.517185,0,0,0.001435,0,1,210,0.146147,0.037867,0.037867
232,'The Commandant',,'The Commandant','The Commandant is the head of Rommelwood Academy,6,6,3,0.501642,0.504364,0,1,0.000609,0,1,15,0.07091,0.0175,0.017501
233,'The Real Principal Seymour Skinner',,'The Real Principal Seymour Skinner','The Real Principal Seymour Skinner,8,8,3,0.501642,0.505456,0,0,0.000716,0,1,28,0.067205,0.01688,0.01688
234,'Fox Censor',,'Fox Censor','Fox Censor,11,11,3,0.50371,0.508456,0,2,0.000884,0,1,55,0.093922,0.023753,0.023753
235,'Apu\'s Mother',,'Apu\'s Mother','Apu\'s Mother comes to Springfield with the intent to enforce her son Apu\'s arranged marriage.',4,4,3,0.497152,0.500273,0,0,0.000485,0,1,6,0.037132,0.009175,0.009175
237,'Cooder',,'Cooder','Cooder and Spud are father and son carnies who trick Homer into giving them the house.',4,4,3,0.5,0.502182,0,1,0.000491,0,1,6,0.05002,0.012243,0.012243
238,'The Leader',,'The Leader','The Leader is the founder of the Movementarian cult. He had people join by telling them they would go to a planet Blisstonia and would take their money to build a rocket ship to escape Earth.',9,9,3,0.502881,0.506819,0,1,0.000798,0,1,36,0.083109,0.020704,0.020705
239,'Greg',,'Greg','Greg and Jane are two recruiters who work for the Leader.',9,9,3,0.502881,0.506819,0,1,0.000798,0,1,36,0.083109,0.020704,0.020705
240,'Renee',,'Renee','Renee was Moe\'s one-time girlfriend.',4,4,3,0.494737,0.498636,0,2,0.000474,0,1,6,0.03174,0.008113,0.008113
241,'Captain Tenille',,'Captain Tenille','Captain Tenille is the captain of the USS Jebediah nuclear submarine,13,13,3,0.504542,0.510093,0,2,0.001016,0,1,78,0.097511,0.024894,0.024894
242,'Drill Sergeant',,'Drill Sergeant','Drill Sergeant,13,13,3,0.504542,0.510093,0,2,0.001016,0,1,78,0.097511,0.024894,0.024894
243,'Agent Johnson',,'Agent Johnson','Agent Johnson is Homer\'s agent who is really in pursuit of Mr. Burns\' trillion dollar bill.',4,4,3,0.495942,0.499454,0,2,0.000481,0,1,6,0.035773,0.009083,0.009083
244,'Ray Patterson',,'Ray Patterson',"'Ray Patterson is the former Springfield sanitation commissioner who gets defeated by Homer by convincing the public with \""crazy promises\"". When Homer abuses his power",9,9,3,0.502881,0.506819,0,4,0.00081,0,1,36,0.074774,0.018433,0.018434
245,'Brad',,'Brad','Brad and Neil are marketers for Powersauce energy bars.',5,5,3,0.50041,0.503001,0,1,0.000545,0,1,10,0.051584,0.012709,0.01271
247,'Wally Kogen',,'Wally Kogen','Wally Kogen is a travel agent. His name is based on an old Simpsons writing duo,12,12,3,0.504125,0.509274,0,5,0.001075,0,1,66,0.072357,0.01751,0.017511
248,'Trent Steele',,'Trent Steele','Trent Steele,6,6,3,0.498369,0.502182,0,4,0.000638,0,1,15,0.047027,0.011666,0.011666
249,'Red Barclay',,'Red Barclay','Red Barclay,6,6,3,0.501642,0.504364,0,1,0.000608,0,1,15,0.069007,0.017016,0.017016
250,'Astrid Weller',,'Astrid Weller','Astrid Weller,7,7,3,0.502054,0.505183,0,1,0.000692,0,1,21,0.069575,0.017086,0.017087
251,'Jerry Rude',,'Jerry Rude','Jerry Rude,8,8,3,0.502467,0.506001,0,1,0.000722,0,1,28,0.082944,0.020695,0.020696
252,'Wink',,'Wink','Wink,6,6,3,0.501642,0.504364,0,1,0.000608,0,1,15,0.068593,0.01691,0.01691
253,'Edward Christian',,'Edward Christian','Edward Christian,3,3,3,0.496748,0.499454,0,1,0.000519,0,1,3,0.029512,0.007069,0.00707
254,'Lifeways Editor',,'Lifeways Editor','Lifeways Editor,4,4,3,0.50082,0.502728,0,1,0.000496,0,1,6,0.056654,0.013704,0.013705
255,'Emil',,'Emil','Emil,7,7,3,0.50082,0.504364,0,1,0.000683,0,1,21,0.061786,0.01541,0.01541
256,'Larry Kidkill',,'Larry Kidkill','Larry Kidkill,5,5,3,0.497557,0.501091,0,0,0.000585,0,1,10,0.037799,0.00931,0.00931
257,'Meathook',,'Meathook','Meathook and Ramrod,9,9,3,0.502054,0.506274,0,2,0.000814,0,1,36,0.071598,0.017921,0.017921
258,'Jim Hope',,'Jim Hope','Jim Hope,10,10,3,0.503295,0.507638,0,0,0.000847,0,1,45,0.091049,0.022773,0.022773
259,'Brother Faith',,'Brother Faith','Brother Faith,9,9,3,0.502881,0.506819,0,1,0.000788,0,1,36,0.073948,0.018625,0.018625
260,'Michael Finn',,'Michael Finn','Michael Finn,9,9,3,0.502881,0.506819,0,2,0.00084,0,1,36,0.065088,0.016178,0.016178
261,'Titania',,'Titania','Titania,9,9,3,0.502881,0.506819,0,2,0.00084,0,1,36,0.065088,0.016178,0.016178
262,'Dr. Velimorovic',,'Dr. Velimorovic','Dr. Velimorovic,9,9,3,0.502881,0.506819,0,2,0.00084,0,1,36,0.065088,0.016178,0.016178
263,'The Casino Manager',,'The Casino Manager','The Casino Manager is the manager of a Native American casino who tells Bart his future.',7,7,3,0.502054,0.505183,0,1,0.000663,0,1,21,0.074686,0.018566,0.018566
